instance_pre,Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L2R7_R,Delta7(PB15)_L3R6_R,Delta7(PB15)_L4R5_R,Delta7(PB15)_L5R4_L,Delta7(PB15)_L6R3_L,Delta7(PB15)_L7R2_L,Delta7(PB15)_L8R1R9_L,EPG(PB08)_L1,EPG(PB08)_L2,EPG(PB08)_L3,EPG(PB08)_L4,EPG(PB08)_L5,EPG(PB08)_L6,EPG(PB08)_L7,EPG(PB08)_L8,EPG(PB08)_R1,EPG(PB08)_R2,EPG(PB08)_R3,EPG(PB08)_R4,EPG(PB08)_R5,EPG(PB08)_R6,EPG(PB08)_R7,EPG(PB08)_R8,PEG(PB07)_L1,PEG(PB07)_L2,PEG(PB07)_L3,PEG(PB07)_L4,PEG(PB07)_L5,PEG(PB07)_L6,PEG(PB07)_L7,PEG(PB07)_L8,PEG(PB07)_L9,PEG(PB07)_R1,PEG(PB07)_R2,PEG(PB07)_R3,PEG(PB07)_R4,PEG(PB07)_R5,PEG(PB07)_R6,PEG(PB07)_R7,PEG(PB07)_R8,PEG(PB07)_R9,PEN_a(PB06a)_L2,PEN_a(PB06a)_L3,PEN_a(PB06a)_L4,PEN_a(PB06a)_L5,PEN_a(PB06a)_L6,PEN_a(PB06a)_L7,PEN_a(PB06a)_L8,PEN_a(PB06a)_L9,PEN_a(PB06a)_R2,PEN_a(PB06a)_R3,PEN_a(PB06a)_R4,PEN_a(PB06a)_R5,PEN_a(PB06a)_R6,PEN_a(PB06a)_R7,PEN_a(PB06a)_R8,PEN_a(PB06a)_R9,PEN_b(PB06b)_L2,PEN_b(PB06b)_L3,PEN_b(PB06b)_L4,PEN_b(PB06b)_L5,PEN_b(PB06b)_L6,PEN_b(PB06b)_L7,PEN_b(PB06b)_L8,PEN_b(PB06b)_L9,PEN_b(PB06b)_R2,PEN_b(PB06b)_R3,PEN_b(PB06b)_R4,PEN_b(PB06b)_R5,PEN_b(PB06b)_R6,PEN_b(PB06b)_R7,PEN_b(PB06b)_R8,PEN_b(PB06b)_R9
EPG(PB08)_L3,6.466666666666667,2.0,2.5,2.7142857142857144,9.466666666666667,20.066666666666666,20.444444444444443,17.733333333333334,1.75,2.4285714285714284,0.0,3.142857142857143,1.6666666666666667,0.0,1.75,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,17.88888888888889,19.666666666666668,2.0,6.0,3.0,37.44444444444444,3.3333333333333335,5.333333333333333,2.0,5.666666666666667,1.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,9.333333333333334,0.0,0.0,2.5,17.6,17.166666666666668,11.333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.666666666666666,29.333333333333332,1.5,5.0,40.0,24.666666666666668,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,32.333333333333336,0.0
EPG(PB08)_L4,18.8125,8.0,1.4444444444444444,1.9090909090909092,2.5833333333333335,14.6875,23.3,19.6875,0.0,1.4,2.625,0.0,1.25,1.2,1.0,1.25,0.0,0.0,0.0,1.0,11.0,16.666666666666668,0.0,0.0,0.0,6.0,2.0,38.9,2.2,4.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.5,17.11111111111111,21.666666666666668,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,23.666666666666668,0.0,0.0,0.0,0.0,26.833333333333332,24.666666666666668,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,21.333333333333332,1.0,0.0
EPG(PB08)_L5,21.466666666666665,10.866666666666667,6.1,1.8,2.4166666666666665,4.545454545454546,10.555555555555555,18.066666666666666,1.2,0.0,1.8,1.8,0.0,2.0,1.2,1.0,0.0,0.0,2.0,12.222222222222221,11.333333333333334,0.0,0.0,0.0,5.666666666666667,1.0,4.666666666666667,2.75,36.0,2.2,11.333333333333334,1.0,5.666666666666667,0.0,0.0,0.0,2.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.5,13.333333333333334,5.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,14.5,2.5,0.0,0.0,0.0,0.0,4.5,37.0,16.833333333333332,3.5,0.0,0.0,0.0,0.0,0.0,2.0,22.333333333333332,0.0,0.0,0.0
EPG(PB08)_L6,13.066666666666666,6.933333333333334,8.083333333333334,2.769230769230769,3.272727272727273,2.25,2.375,7.933333333333334,0.0,1.5,1.0,1.5714285714285714,2.6,0.0,2.875,1.1111111111111112,0.0,1.0,14.555555555555555,18.444444444444443,1.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,3.3333333333333335,1.6666666666666667,23.666666666666668,1.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.375,17.666666666666668,7.666666666666667,2.0,0.0,0.0,5.5,19.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,34.333333333333336,4.5,0.0,0.0,0.0,7.5,38.666666666666664,0.0,0.0,0.0,0.0
EPG(PB08)_L7,10.5,5.857142857142857,8.083333333333334,10.866666666666667,7.214285714285714,2.2222222222222223,2.75,2.5384615384615383,1.0,1.0,1.625,1.0,1.2857142857142858,3.0,0.0,4.666666666666667,1.3333333333333333,17.333333333333332,10.555555555555555,1.75,0.0,0.0,0.0,0.0,6.0,1.0,6.666666666666667,1.0,4.0,4.333333333333333,23.88888888888889,2.3333333333333335,6.333333333333333,0.0,5.333333333333333,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,19.0,11.666666666666666,0.0,15.0,17.666666666666668,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.333333333333332,21.666666666666668,4.4,0.0,9.333333333333334,22.5,0.0,0.0,0.0,0.0,0.0
EPG(PB08)_L8,1.8571428571428572,4.8,8.5,10.5,11.65,4.285714285714286,2.0,2.6666666666666665,2.4,1.3333333333333333,1.0,1.5,1.0,1.4,4.2727272727272725,0.0,18.5,17.5,1.4,1.0,0.0,0.0,0.0,1.2,1.0,4.25,1.0,5.75,1.0,7.5,1.0,21.083333333333332,2.5,2.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,1.0,0.0,0.0,0.0,1.0,10.571428571428571,26.0,5.75,30.5,2.2,0.0,0.0,0.0,0.0,1.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,19.5,17.6,10.0,26.75,0.0,0.0,0.0,0.0,0.0,0.0
EPG(PB08)_R1,1.4,10.5,24.75,26.8,27.8,6.8,2.5,4.4,15.571428571428571,0.0,1.0,0.0,0.0,0.0,1.5,17.75,0.0,2.4,1.0,0.0,0.0,0.0,0.0,3.2,15.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,57.75,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.5,4.0,0.0,0.0,0.0,0.0,0.0,16.5,16.75,14.0,1.0,0.0,0.0,0.0,0.0,4.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,27.333333333333332,7.0,0.0,0.0,0.0,0.0,0.0,0.0
EPG(PB08)_R2,5.625,13.7,19.875,17.3,12.444444444444445,2.142857142857143,3.2,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.625,5.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,51.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,13.0,19.0,13.5,36.5,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.5,22.0,36.5,3.3333333333333335,0.0,0.0,0.0,0.0,0.0
EPG(PB08)_R3,24.6,27.333333333333332,30.666666666666668,15.866666666666667,2.857142857142857,2.4285714285714284,1.5714285714285714,8.5,0.0,0.0,0.0,0.0,3.0,14.11111111111111,12.333333333333334,1.8,0.0,4.0,0.0,4.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,5.0,0.0,0.0,0.0,4.5,65.33333333333333,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.333333333333334,28.666666666666668,5.0,1.5,20.2,20.142857142857142,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.333333333333332,2.0,6.0,40.0,28.0,4.5,0.0,0.0,0.0,0.0
EPG(PB08)_R4,21.733333333333334,21.2,12.166666666666666,3.272727272727273,2.75,1.6666666666666667,4.555555555555555,14.2,0.0,0.0,0.0,2.0,8.777777777777779,16.333333333333332,2.0,1.0,0.0,1.0,4.428571428571429,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,47.166666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.833333333333333,29.666666666666668,5.0,0.0,0.0,1.0,9.88888888888889,26.333333333333332,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,31.0,0.0,0.0,0.0,0.0,17.333333333333332,28.0,2.75,0.0,0.0,0.0
