instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L5R4_L,PEG(PB07)_R2,1.6666666666666667,0.75
Delta7(PB15)_L5R4_L,PEG(PB07)_R3,1.3333333333333333,3.625
Delta7(PB15)_L5R4_L,PEG(PB07)_R4,31.2,53.625
Delta7(PB15)_L5R4_L,PEG(PB07)_R5,7.2,10.5
Delta7(PB15)_L5R4_L,PEG(PB07)_R6,1.0,0.625
Delta7(PB15)_L5R4_L,PEG(PB07)_R7,1.0,1.5
Delta7(PB15)_L5R4_L,PEG(PB07)_R8,1.3333333333333333,1.125
Delta7(PB15)_L6R3_L,PEG(PB07)_L1,2.0,1.125
Delta7(PB15)_L6R3_L,PEG(PB07)_L2,2.5,1.25
Delta7(PB15)_L6R3_L,PEG(PB07)_L3,2.8,1.25
Delta7(PB15)_L6R3_L,PEG(PB07)_L4,1.0,0.75
Delta7(PB15)_L6R3_L,PEG(PB07)_L5,3.0,4.875
Delta7(PB15)_L6R3_L,PEG(PB07)_L6,27.4,44.75
Delta7(PB15)_L6R3_L,PEG(PB07)_L7,14.0,11.375
Delta7(PB15)_L6R3_L,PEG(PB07)_L8,1.0,0.875
Delta7(PB15)_L6R3_L,PEG(PB07)_R1,0.0,0.75
Delta7(PB15)_L6R3_L,PEG(PB07)_R2,8.25,3.625
Delta7(PB15)_L6R3_L,PEG(PB07)_R3,69.2,53.625
Delta7(PB15)_L6R3_L,PEG(PB07)_R4,12.6,10.5
Delta7(PB15)_L6R3_L,PEG(PB07)_R5,1.0,0.625
Delta7(PB15)_L6R3_L,PEG(PB07)_R6,1.0,1.5
Delta7(PB15)_L6R3_L,PEG(PB07)_R7,1.0,1.125
Delta7(PB15)_L6R3_L,PEG(PB07)_R8,1.0,1.5
Delta7(PB15)_L7R2_L,PEG(PB07)_L1,2.0,0.875
Delta7(PB15)_L7R2_L,PEG(PB07)_L2,2.0,1.125
Delta7(PB15)_L7R2_L,PEG(PB07)_L3,2.6666666666666665,1.25
Delta7(PB15)_L7R2_L,PEG(PB07)_L4,1.5,1.25
Delta7(PB15)_L7R2_L,PEG(PB07)_L5,1.0,0.75
Delta7(PB15)_L7R2_L,PEG(PB07)_L6,6.0,4.875
Delta7(PB15)_L7R2_L,PEG(PB07)_L7,29.0,44.75
Delta7(PB15)_L7R2_L,PEG(PB07)_L8,5.0,11.375
Delta7(PB15)_L7R2_L,PEG(PB07)_R1,3.0,3.625
Delta7(PB15)_L7R2_L,PEG(PB07)_R2,56.0,53.625
Delta7(PB15)_L7R2_L,PEG(PB07)_R3,9.5,10.5
Delta7(PB15)_L7R2_L,PEG(PB07)_R4,1.0,0.625
Delta7(PB15)_L7R2_L,PEG(PB07)_R5,2.0,1.5
Delta7(PB15)_L7R2_L,PEG(PB07)_R6,1.0,1.125
Delta7(PB15)_L7R2_L,PEG(PB07)_R7,2.0,1.5
Delta7(PB15)_L7R2_L,PEG(PB07)_R8,0.0,0.75
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L1,7.6,11.375
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L2,1.5,0.875
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L3,1.6,1.125
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L4,1.0,1.25
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L5,1.0,1.25
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L6,0.0,0.75
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L7,4.333333333333333,4.875
Delta7(PB15)_L8R1R9_L,PEG(PB07)_L8,38.0,44.75
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R1,51.0,53.625
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R2,13.4,10.5
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R3,1.5,0.625
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R4,1.0,1.5
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R5,1.0,1.125
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R6,1.0,1.5
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R7,1.5,0.75
Delta7(PB15)_L8R1R9_L,PEG(PB07)_R8,3.75,3.625
