instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L5R4_L,EPG(PB08)_L7,1.0,1.125
Delta7(PB15)_L5R4_L,EPG(PB08)_L8,0.0,0.875
Delta7(PB15)_L5R4_L,EPG(PB08)_R1,1.75,1.5
Delta7(PB15)_L5R4_L,EPG(PB08)_R2,1.0,1.125
Delta7(PB15)_L5R4_L,EPG(PB08)_R3,1.25,1.875
Delta7(PB15)_L5R4_L,EPG(PB08)_R4,11.133333333333333,19.375
Delta7(PB15)_L5R4_L,EPG(PB08)_R5,3.727272727272727,4.5
Delta7(PB15)_L5R4_L,EPG(PB08)_R6,1.0,0.875
Delta7(PB15)_L5R4_L,EPG(PB08)_R7,1.5,1.25
Delta7(PB15)_L5R4_L,EPG(PB08)_R8,1.4285714285714286,1.25
Delta7(PB15)_L6R3_L,EPG(PB08)_L1,1.4,0.875
Delta7(PB15)_L6R3_L,EPG(PB08)_L2,2.625,1.5
Delta7(PB15)_L6R3_L,EPG(PB08)_L3,2.769230769230769,1.5
Delta7(PB15)_L6R3_L,EPG(PB08)_L4,1.1666666666666667,1.125
Delta7(PB15)_L6R3_L,EPG(PB08)_L5,1.1666666666666667,2.875
Delta7(PB15)_L6R3_L,EPG(PB08)_L6,12.0,17.375
Delta7(PB15)_L6R3_L,EPG(PB08)_L7,9.333333333333334,5.5
Delta7(PB15)_L6R3_L,EPG(PB08)_L8,2.0,1.125
Delta7(PB15)_L6R3_L,EPG(PB08)_R1,1.0,1.125
Delta7(PB15)_L6R3_L,EPG(PB08)_R2,3.3333333333333335,1.875
Delta7(PB15)_L6R3_L,EPG(PB08)_R3,19.466666666666665,19.375
Delta7(PB15)_L6R3_L,EPG(PB08)_R4,7.375,4.5
Delta7(PB15)_L6R3_L,EPG(PB08)_R5,1.3333333333333333,0.875
Delta7(PB15)_L6R3_L,EPG(PB08)_R6,1.0,1.25
Delta7(PB15)_L6R3_L,EPG(PB08)_R7,1.1666666666666667,1.25
Delta7(PB15)_L6R3_L,EPG(PB08)_R8,1.25,1.5
Delta7(PB15)_L7R2_L,EPG(PB08)_L1,1.0,1.125
Delta7(PB15)_L7R2_L,EPG(PB08)_L2,1.6,0.875
Delta7(PB15)_L7R2_L,EPG(PB08)_L3,2.5555555555555554,1.5
Delta7(PB15)_L7R2_L,EPG(PB08)_L4,2.5,1.5
Delta7(PB15)_L7R2_L,EPG(PB08)_L5,1.0,1.125
Delta7(PB15)_L7R2_L,EPG(PB08)_L6,1.0,2.875
Delta7(PB15)_L7R2_L,EPG(PB08)_L7,17.666666666666668,17.375
Delta7(PB15)_L7R2_L,EPG(PB08)_L8,1.5,5.5
Delta7(PB15)_L7R2_L,EPG(PB08)_R1,4.0,1.875
Delta7(PB15)_L7R2_L,EPG(PB08)_R2,32.166666666666664,19.375
Delta7(PB15)_L7R2_L,EPG(PB08)_R3,2.75,4.5
Delta7(PB15)_L7R2_L,EPG(PB08)_R4,1.0,0.875
Delta7(PB15)_L7R2_L,EPG(PB08)_R5,1.8333333333333333,1.25
Delta7(PB15)_L7R2_L,EPG(PB08)_R6,1.0,1.25
Delta7(PB15)_L7R2_L,EPG(PB08)_R7,1.1666666666666667,1.5
Delta7(PB15)_L7R2_L,EPG(PB08)_R8,1.0,1.125
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L1,4.0,5.5
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L2,1.3333333333333333,1.125
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L3,1.7692307692307692,0.875
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L4,1.5,1.5
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L5,1.3333333333333333,1.5
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L6,1.0,1.125
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L7,3.75,2.875
Delta7(PB15)_L8R1R9_L,EPG(PB08)_L8,18.45,17.375
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R1,22.6,19.375
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R2,6.555555555555555,4.5
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R3,1.2857142857142858,0.875
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R4,1.8333333333333333,1.25
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R5,2.3846153846153846,1.25
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R6,1.4545454545454546,1.5
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R7,1.125,1.125
Delta7(PB15)_L8R1R9_L,EPG(PB08)_R8,2.3333333333333335,1.875
