instance_pre,Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L2R7_R,Delta7(PB15)_L3R6_R,Delta7(PB15)_L4R5_R,Delta7(PB15)_L5R4_L,Delta7(PB15)_L6R3_L,Delta7(PB15)_L7R2_L,Delta7(PB15)_L8R1R9_L,EPG(PB08)_L1,EPG(PB08)_L2,EPG(PB08)_L3,EPG(PB08)_L4,EPG(PB08)_L5,EPG(PB08)_L6,EPG(PB08)_L7,EPG(PB08)_L8,EPG(PB08)_R1,EPG(PB08)_R2,EPG(PB08)_R3,EPG(PB08)_R4,EPG(PB08)_R5,EPG(PB08)_R6,EPG(PB08)_R7,EPG(PB08)_R8,PEG(PB07)_L1,PEG(PB07)_L2,PEG(PB07)_L3,PEG(PB07)_L4,PEG(PB07)_L5,PEG(PB07)_L6,PEG(PB07)_L7,PEG(PB07)_L8,PEG(PB07)_L9,PEG(PB07)_R1,PEG(PB07)_R2,PEG(PB07)_R3,PEG(PB07)_R4,PEG(PB07)_R5,PEG(PB07)_R6,PEG(PB07)_R7,PEG(PB07)_R8,PEG(PB07)_R9,PEN_a(PB06a)_L2,PEN_a(PB06a)_L3,PEN_a(PB06a)_L4,PEN_a(PB06a)_L5,PEN_a(PB06a)_L6,PEN_a(PB06a)_L7,PEN_a(PB06a)_L8,PEN_a(PB06a)_L9,PEN_a(PB06a)_R2,PEN_a(PB06a)_R3,PEN_a(PB06a)_R4,PEN_a(PB06a)_R5,PEN_a(PB06a)_R6,PEN_a(PB06a)_R7,PEN_a(PB06a)_R8,PEN_a(PB06a)_R9,PEN_b(PB06b)_L2,PEN_b(PB06b)_L3,PEN_b(PB06b)_L4,PEN_b(PB06b)_L5,PEN_b(PB06b)_L6,PEN_b(PB06b)_L7,PEN_b(PB06b)_L8,PEN_b(PB06b)_L9,PEN_b(PB06b)_R2,PEN_b(PB06b)_R3,PEN_b(PB06b)_R4,PEN_b(PB06b)_R5,PEN_b(PB06b)_R6,PEN_b(PB06b)_R7,PEN_b(PB06b)_R8,PEN_b(PB06b)_R9
PEN_a(PB06a)_R9,0,0,0,0,0,0,0,0,131,134,28,1,0,0,0,8,44,0,0,0,0,5,111,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,3,0,0,0,0,0,17,13,36,22,41,22,33,0,6,4,0,0,0,0,0,0,12,6,15,19,15,10,16,23
PEN_b(PB06b)_L2,0,0,0,0,0,0,0,0,178,5,0,0,0,0,0,28,171,2,0,0,0,0,6,63,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,13,15,8,27,4,12,18,3,1,0,0,0,0,0,0,0,25,46,15,50,15,44,38,9,0,0,0,0,0,0,3
PEN_b(PB06b)_L3,0,0,0,0,0,0,0,0,43,135,5,0,0,0,0,0,0,0,0,0,0,1,105,148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,16,10,13,10,6,12,11,0,0,0,0,0,0,0,2,14,0,15,29,26,29,24,54,0,0,0,0,0,0,2,16
PEN_b(PB06b)_L4,1,0,0,0,1,1,0,0,0,43,314,5,0,0,0,0,0,0,0,0,0,91,223,15,0,1,7,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,31,15,44,11,31,15,25,20,0,0,0,0,0,2,8,0,44,26,0,26,73,26,59,62,0,0,0,0,0,1,23,1
PEN_b(PB06b)_L5,0,0,0,0,0,0,0,0,0,0,61,136,6,0,0,0,0,0,0,1,36,181,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,19,11,13,9,5,7,13,0,0,0,0,0,3,1,0,13,31,24,0,21,45,20,55,0,0,0,0,0,20,1,0
PEN_b(PB06b)_L6,0,0,0,0,0,2,0,0,0,0,0,49,209,2,0,0,0,0,0,44,199,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,25,17,17,8,38,13,21,21,0,0,0,0,7,0,0,0,63,35,73,20,0,27,73,51,0,0,0,0,27,0,0,0
PEN_b(PB06b)_L7,0,0,0,0,0,0,1,0,0,0,0,0,42,226,3,0,0,0,88,223,7,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,5,0,0,0,0,0,13,8,13,10,13,21,9,16,0,0,0,5,5,0,0,0,13,33,24,23,16,0,28,53,0,0,2,15,0,0,0,0
PEN_b(PB06b)_L8,0,0,0,0,0,0,0,1,0,0,0,0,0,47,159,9,0,35,171,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,12,12,25,9,22,15,21,17,0,0,5,1,0,0,0,0,36,28,46,23,54,26,0,56,0,4,21,0,0,0,0,0
PEN_b(PB06b)_L9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,321,49,138,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,26,14,14,13,18,17,15,19,0,4,0,0,0,0,0,0,27,44,38,44,46,57,35,0,0,22,1,0,0,0,0,0
PEN_b(PB06b)_R2,0,0,1,0,0,0,0,0,168,3,0,0,0,0,4,73,157,3,0,0,0,0,1,43,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,15,5,16,5,8,9,15,10,10,0,0,0,0,0,0,0,0,14,34,19,22,18,27,31
PEN_b(PB06b)_R3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,95,234,49,146,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,11,8,9,12,4,3,0,0,0,0,0,0,0,9,18,0,22,28,7,17,22,40
PEN_b(PB06b)_R4,0,0,0,0,1,0,0,0,0,0,0,0,2,106,222,14,0,46,284,30,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,8,0,18,11,47,10,22,28,18,17,0,0,0,0,0,4,26,0,39,19,0,29,52,23,48,47
PEN_b(PB06b)_R5,0,0,0,0,0,0,0,0,0,0,0,0,37,234,0,0,0,0,68,233,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,11,6,32,19,25,19,11,17,0,0,0,0,3,13,0,0,21,24,16,0,25,25,27,58
PEN_b(PB06b)_R6,0,0,0,0,0,0,0,0,0,0,0,62,186,6,0,0,0,0,1,65,230,11,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,1,0,0,5,6,28,12,31,12,17,14,0,0,0,2,25,3,0,0,18,10,66,26,0,15,42,30
PEN_b(PB06b)_R7,0,3,0,0,0,0,0,0,0,0,72,109,0,0,0,0,0,0,0,0,29,163,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,8,9,6,11,0,0,0,10,0,0,0,0,14,16,20,21,20,0,24,31
PEN_b(PB06b)_R8,0,0,0,0,0,0,0,0,2,47,203,4,0,0,0,0,0,0,0,0,0,56,189,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,7,18,9,22,8,14,16,0,2,13,0,0,0,0,0,26,19,51,26,19,20,0,47
PEN_b(PB06b)_R9,0,0,0,0,0,0,0,2,61,143,2,0,0,0,0,0,0,0,0,0,0,2,90,223,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,11,5,13,9,15,16,10,24,1,20,0,0,0,0,0,0,27,36,46,53,24,35,36,0
